AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1319 kg,,1799 mm,4658 mm,1407 mm,,519 lt,,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance Eco,,,,,,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance Eco Test Sürüşü Talep Sayfası,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance Eco Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,,Atmosferik,,4,1597 cc,PGM-FI (Direkt Enjeksiyon),11.5 saniye,196 km/s,152 nm,125 BG,Japonya,Sedan,Binek,Elegance ECO,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Civic,Benzin & LPG,https://www.epey.com/araba/2021-honda-civic-sedan-1-6-125-ps-otomatik-elegance-eco.html,Var,,,,,,144 g/km,6.3 lt,46 lt,,4.9 lt,8.7 lt,Yok,4 yıldız,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance Eco NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1319 kg,,1799 mm,4658 mm,1407 mm,,519 lt,,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance,,,,,,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance Test Sürüşü Talep Sayfası,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,,Atmosferik,,4,1597 cc,PGM-FI (Direkt Enjeksiyon),11.5 saniye,196 km/s,152 nm,125 BG,Japonya,Sedan,Binek,Elegance,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Civic,Benzin,https://www.epey.com/araba/2021-honda-civic-sedan-1-6-125-ps-otomatik-elegance.html,,,,,,,144 g/km,6.3 lt,46 lt,,4.9 lt,8.7 lt,Yok,4 yıldız,2021 Honda Civic Sedan 1.6 125 PS Otomatik Elegance NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1319 kg,,1799 mm,4658 mm,1407 mm,,519 lt,,2021 Honda Civic Sedan 1.6 125 PS Otomatik Executive Eco,,,,,,2021 Honda Civic Sedan 1.6 125 PS Otomatik Executive Eco Test Sürüşü Talep Sayfası,2021 Honda Civic Sedan 1.6 125 PS Otomatik Executive Eco Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,,Atmosferik,,4,1597 cc,PGM-FI (Direkt Enjeksiyon),11.5 saniye,196 km/s,152 nm,125 BG,Japonya,Sedan,Binek,Executive ECO,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Civic,Benzin & LPG,https://www.epey.com/araba/2021-honda-civic-sedan-1-6-125-ps-otomatik-executive-eco.html,Var,,,,,,144 g/km,6.3 lt,46 lt,,4.9 lt,8.7 lt,Yok,4 yıldız,2021 Honda Civic Sedan 1.6 125 PS Otomatik Executive Eco NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1669 kg,,1855 mm,4600 mm,1681 mm,,561 lt,,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4),,,,,,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) Test Sürüşü Talep Sayfası,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Elegance,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2021-honda-cr-v-1-5-vtec-193-bg-otomatik-elegance-4x4.html,,,,,,,162 g/km,7.1 lt,57 lt,,6.2 lt,8.6 lt,,5 yıldız,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1669 kg,,1855 mm,4600 mm,1681 mm,,561 lt,,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4),,,,,,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) Test Sürüşü Talep Sayfası,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Executive,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2021-honda-cr-v-1-5-vtec-193-bg-otomatik-executive-4x4.html,,,,,,,162 g/km,7.1 lt,57 lt,,6.2 lt,8.6 lt,,5 yıldız,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1669 kg,,1855 mm,4600 mm,1681 mm,,561 lt,,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4),,,,,,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) Test Sürüşü Talep Sayfası,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Executive+,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2021-honda-cr-v-1-5-vtec-193-bg-otomatik-executive-plus-4x4.html,,,,,,,162 g/km,7.1 lt,57 lt,,6.2 lt,8.6 lt,,5 yıldız,2021 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1743 kg,,1855 mm,4600 mm,1681 mm,,497 lt,,2021 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4),,,,,,2021 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) Test Sürüşü Talep Sayfası,2021 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,1.3 kW/sa,Lityum İyon,,,Atmosferik,,4,1993 cc,PGM-FI (Direkt Enjeksiyon),9.2 saniye,180 km/s,315 nm,184 BG,Japonya,,Binek,Executive+,SUV,2021,HEV (Benzinli & Elektrikli),6113 tl/yıl,C,CR-V,Benzin & Elektrik,https://www.epey.com/araba/2021-honda-cr-v-2-0-i-mmd-hybrid-184-ps-e-cvt-executive-plus-4x4.html,,,,,,,126 g/km,5.5 lt,57 lt,,5.1 lt,5.7 lt,,5 yıldız,2021 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,4x4 Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1327 kg,,1725 mm,4090 mm,1556 mm,,298 lt,,2021 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Crosstar Executive,,,,,,,2021 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Crosstar Executive Ürün Kataloğu,,,,253 nm,,,,,Atmosferik,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),9.9 saniye,175 km/s,131 nm,98 BG,Japonya,,Binek,Crosstar Executive,Hatchback,2021,HEV (Benzinli & Elektrikli),2197 tl/yıl,B,Jazz,Benzin & Elektrik,https://www.epey.com/araba/2021-honda-jazz-1-5-i-mmd-hybrid-98-ps-otomatik-crosstar-executive.html,,,,,,,88 g/km,3.8 lt,40 lt,,4.5 lt,2.7 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1300 kg,,1694 mm,4044 mm,1526 mm,,304 lt,,2021 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Executive,,,,,,,2021 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Executive Ürün Kataloğu,,,,253 nm,,,,,Atmosferik,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),9.5 saniye,175 km/s,131 nm,98 BG,Japonya,,Binek,Executive,Hatchback,2021,HEV (Benzinli & Elektrikli),2197 tl/yıl,B,Jazz,Benzin & Elektrik,https://www.epey.com/araba/2021-honda-jazz-1-5-i-mmd-hybrid-98-ps-otomatik-executive.html,,,,,,,84 g/km,3.7 lt,40 lt,,4.3 lt,2.5 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1355 kg,,1825 mm,4650 mm,1430 mm,474 lt,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Elite Plus,,,,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Elite Plus Test Sürüşü Talep Sayfası,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Elite Plus Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1598 cc,Çok Noktadan Enjeksiyon,10.7 saniye,197 km/s,154 nm,123 BG,Güney Kore,,Binek,Elite Plus,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Elantra,Benzin,https://www.epey.com/araba/2021-hyundai-elantra-1-6-mpi-123-ps-cvt-elite-plus.html,,,,,,,141 g/km,6.2 lt,47 lt,Euro 6.2,6.3 lt,8.8 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1355 kg,,1825 mm,4650 mm,1430 mm,474 lt,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Elite,,,,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Elite Test Sürüşü Talep Sayfası,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Elite Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1598 cc,Çok Noktadan Enjeksiyon,10.7 saniye,197 km/s,154 nm,123 BG,Güney Kore,,Binek,Elite,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Elantra,Benzin,https://www.epey.com/araba/2021-hyundai-elantra-1-6-mpi-123-ps-cvt-elite.html,,,,,,,141 g/km,6.2 lt,47 lt,Euro 6.2,6.3 lt,8.8 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1355 kg,,1825 mm,4650 mm,1430 mm,474 lt,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Smart,,,,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Smart Test Sürüşü Talep Sayfası,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Smart Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1598 cc,Çok Noktadan Enjeksiyon,10.7 saniye,197 km/s,154 nm,123 BG,Güney Kore,,Binek,Smart,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Elantra,Benzin,https://www.epey.com/araba/2021-hyundai-elantra-1-6-mpi-123-ps-cvt-smart.html,,,,,,,141 g/km,6.2 lt,47 lt,Euro 6.2,6.3 lt,8.8 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1355 kg,,1825 mm,4650 mm,1430 mm,474 lt,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Style Comfort,,,,,,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Style Comfort Test Sürüşü Talep Sayfası,2021 Hyundai Elantra 1.6 MPI 123 PS CVT Style Comfort Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1598 cc,Çok Noktadan Enjeksiyon,10.7 saniye,197 km/s,154 nm,123 BG,Güney Kore,,Binek,Style Comfort,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Elantra,Benzin,https://www.epey.com/araba/2021-hyundai-elantra-1-6-mpi-123-ps-cvt-style-comfort.html,,,,,,,141 g/km,6.2 lt,47 lt,Euro 6.2,6.3 lt,8.8 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1335 kg,,1825 mm,4650 mm,1430 mm,474 lt,,,2021 Hyundai Elantra 1.6 MPI 123 PS Style,,,,,,2021 Hyundai Elantra 1.6 MPI 123 PS Style Test Sürüşü Talep Sayfası,2021 Hyundai Elantra 1.6 MPI 123 PS Style Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1598 cc,Çok Noktadan Enjeksiyon,10.6 saniye,197 km/s,154 nm,123 BG,Güney Kore,,Binek,Style,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Elantra,Benzin,https://www.epey.com/araba/2021-hyundai-elantra-1-6-mpi-123-ps-style.html,,,,,,,145 g/km,6.4 lt,47 lt,Euro 6.2,6.3 lt,8.8 lt,,,,,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1100 kg,,1775 mm,4040 mm,1450 mm,1165 lt,352 lt,,2021 Hyundai i20 1.4 MPI 100 PS Jump,,,,,,2021 Hyundai i20 1.4 MPI 100 PS Jump Test Sürüşü Talep Sayfası,2021 Hyundai i20 1.4 MPI 100 PS Jump Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.2 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Jump,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2021-hyundai-i20-1-4-mpi-100-ps-jump.html,,,,,,,131 g/km,5.7 lt,40 lt,Euro 6d,4.8 lt,7.2 lt,,4 yıldız,2021 Hyundai i20 1.4 MPI 100 PS Jump NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1130 kg,,1775 mm,4040 mm,1450 mm,1165 lt,352 lt,,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Elite,,,,,,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Elite Test Sürüşü Talep Sayfası,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Elite Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Elite,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2021-hyundai-i20-1-4-mpi-100-ps-otomatik-elite.html,,,,,,,140 g/km,6.1 lt,40 lt,Euro 6d,5.1 lt,7.8 lt,,4 yıldız,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Elite NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,Standart Otomatik
1130 kg,,1775 mm,4040 mm,1450 mm,1165 lt,352 lt,,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus,,,,,,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus Test Sürüşü Talep Sayfası,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style Plus,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2021-hyundai-i20-1-4-mpi-100-ps-otomatik-style-plus.html,,,,,,,140 g/km,6.1 lt,40 lt,Euro 6d,5.1 lt,7.8 lt,,4 yıldız,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,Standart Otomatik
1130 kg,,1775 mm,4040 mm,1450 mm,1165 lt,352 lt,,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style,,,,,,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style Test Sürüşü Talep Sayfası,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2021-hyundai-i20-1-4-mpi-100-ps-otomatik-style.html,,,,,,,140 g/km,6.1 lt,40 lt,Euro 6d,5.1 lt,7.8 lt,,4 yıldız,2021 Hyundai i20 1.4 MPI 100 PS Otomatik Style NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,Standart Otomatik
1100 kg,,1775 mm,4040 mm,1450 mm,1165 lt,352 lt,,2021 Hyundai i20 1.4 MPI 100 PS Style,,,,,,2021 Hyundai i20 1.4 MPI 100 PS Style Test Sürüşü Talep Sayfası,2021 Hyundai i20 1.4 MPI 100 PS Style Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.2 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2021-hyundai-i20-1-4-mpi-100-ps-style.html,,,,,,,131 g/km,5.7 lt,40 lt,Euro 6d,4.8 lt,7.2 lt,,4 yıldız,2021 Hyundai i20 1.4 MPI 100 PS Style NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1342 kg,,1800 mm,4205 mm,1565 mm,1156 lt,374 lt,,2021 Hyundai Kona 1.0 T-GDI 120 PS DCT Style (4x2),,,,,,2021 Hyundai Kona 1.0 T-GDI 120 PS DCT Style (4x2) Test Sürüşü Talep Sayfası,2021 Hyundai Kona 1.0 T-GDI 120 PS DCT Style (4x2) Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,,Turbo,,3,998 cc,GDI (Doğrudan Enjeksiyon),11.0 saniye,180 km/s,200 nm,120 BG,Güney Kore,,Binek,Style,SUV,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Kona,Benzin,https://www.epey.com/araba/2021-hyundai-kona-1-0-t-gdi-120-ps-dct-style-4x2.html,,,,,,,122 g/km,5.3 lt,50 lt,Euro 6d,4.9 lt,6.0 lt,,5 yıldız,2021 Hyundai Kona 1.0 T-GDI 120 PS DCT Style (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1445 kg,,1800 mm,4205 mm,1565 mm,1156 lt,374 lt,,2021 Hyundai Kona 1.6 CRDI 48V MHEV 136 PS DCT Style (4x2),,,,,,2021 Hyundai Kona 1.6 CRDI 48V MHEV 136 PS DCT Style (4x2) Test Sürüşü Talep Sayfası,2021 Hyundai Kona 1.6 CRDI 48V MHEV 136 PS DCT Style (4x2) Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,9.9 saniye,190 km/s,320 nm,136 BG,Güney Kore,,Binek,Style,SUV,2021,MHEV (Yarı Hibrit Sistem),2197 tl/yıl,B,Kona,Dizel & Elektrik,https://www.epey.com/araba/2021-hyundai-kona-1-6-crdi-48v-mhev-136-ps-dct-style-4x2.html,,,,,,,108 g/km,4.1 lt,50 lt,Euro 6d,4.0 lt,4.3 lt,,5 yıldız,2021 Hyundai Kona 1.6 CRDI 48V MHEV 136 PS DCT Style (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1395 kg,,1800 mm,4205 mm,1565 mm,1156 lt,374 lt,,2021 Hyundai Kona 1.6 T-GDI 198 PS DCT N Line (4x2),,,,,,2021 Hyundai Kona 1.6 T-GDI 198 PS DCT N Line (4x2) Test Sürüşü Talep Sayfası,2021 Hyundai Kona 1.6 T-GDI 198 PS DCT N Line (4x2) Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,,Turbo,,4,1598 cc,GDI (Doğrudan Enjeksiyon),7.7 saniye,210 km/s,265 nm,198 BG,Güney Kore,,Binek,N-Line,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,Kona,Benzin,https://www.epey.com/araba/2021-hyundai-kona-1-6-t-gdi-198-ps-dct-n-line-4x2.html,,,,,,,129 g/km,5.6 lt,50 lt,Euro 6d,5.2 lt,6.5 lt,,5 yıldız,2021 Hyundai Kona 1.6 T-GDI 198 PS DCT N Line (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
