AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Desteği,SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Özellikleri,TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1398 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Trend X,,,,,,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,196 km/s,300 nm,120 BG,,,Amerika,Sedan,Binek,Trend X,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-1-5-ecoblue-120-ps-otomatik-trend-x.html,,,,,,,115 g/km,4.4 lt,47 lt,Euro 6.2,4.1 lt,4.9 lt,,,5 yıldız,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1367 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 EcoBlue 120 PS Titanium,,,,,,2020 Ford Focus 1.5 EcoBlue 120 PS Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 EcoBlue 120 PS Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.0 saniye,199 km/s,300 nm,120 BG,,,Amerika,Sedan,Binek,Titanium,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-1-5-ecoblue-120-ps-titanium.html,,,,,,,90 g/km,3.4 lt,47 lt,Euro 6.2,3.2 lt,3.9 lt,,,5 yıldız,2020 Ford Focus 1.5 EcoBlue 120 PS Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1367 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 EcoBlue 120 PS Trend X,,,,,,2020 Ford Focus 1.5 EcoBlue 120 PS Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 EcoBlue 120 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.0 saniye,199 km/s,300 nm,120 BG,,,Amerika,Sedan,Binek,Trend X,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-1-5-ecoblue-120-ps-trend-x.html,,,,,,,90 g/km,3.4 lt,47 lt,Euro 6.2,3.2 lt,3.9 lt,,,5 yıldız,2020 Ford Focus 1.5 EcoBlue 120 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,Var,,,,6 ileri,Manuel,
1312 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Titanium,,,,,,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,12.4 saniye,194 km/s,150 nm,123 BG,,,Amerika,Sedan,Binek,Titanium,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-1-5-ti-vct-123-ps-otomatik-titanium.html,,,,,,,150 g/km,6.6 lt,52 lt,Euro 6.2,5.1 lt,9.1 lt,,,5 yıldız,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1312 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X,,,,,,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,12.4 saniye,194 km/s,150 nm,123 BG,,,Amerika,Sedan,Binek,Trend X,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-1-5-ti-vct-123-ps-otomatik-trend-x.html,,,,,,,150 g/km,6.6 lt,52 lt,Euro 6.2,5.1 lt,9.1 lt,,,5 yıldız,2020 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1312 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 Ti-VCT 123 PS Titanium,,,,,,2020 Ford Focus 1.5 Ti-VCT 123 PS Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 Ti-VCT 123 PS Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,11.2 saniye,196 km/s,150 nm,123 BG,,,Amerika,Sedan,Binek,Titanium,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-1-5-ti-vct-123-ps-titanium.html,,,,,,,134 g/km,6.0 lt,52 lt,Euro 6.2,4.6 lt,8.1 lt,,,5 yıldız,2020 Ford Focus 1.5 Ti-VCT 123 PS Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1312 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 Ti-VCT 123 PS Trend X,,,,,,2020 Ford Focus 1.5 Ti-VCT 123 PS Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 Ti-VCT 123 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,11.2 saniye,196 km/s,150 nm,123 BG,,,Amerika,Sedan,Binek,Trend X,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-1-5-ti-vct-123-ps-trend-x.html,,,,,,,134 g/km,6.0 lt,52 lt,Euro 6.2,4.6 lt,8.1 lt,,,5 yıldız,2020 Ford Focus 1.5 Ti-VCT 123 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1371 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.0 EcoBoost 125 PS Otomatik ST-Line,,,,,,2020 Ford Focus HB 1.0 EcoBoost 125 PS Otomatik ST-Line Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.0 EcoBoost 125 PS Otomatik ST-Line Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,11.1 saniye,195 km/s,170 nm,125 BG,,,Amerika,Hatchback,Binek,ST-Line,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-hb-1-0-ecoboost-125-ps-otomatik-st-line.html,,,,,,,131 g/km,5.8 lt,52 lt,Euro 6.2,4.9 lt,7.3 lt,,,5 yıldız,2020 Ford Focus HB 1.0 EcoBoost 125 PS Otomatik ST-Line NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1394 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik ST-Line,,,,,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik ST-Line Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik ST-Line Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,196 km/s,300 nm,120 BG,,,Amerika,Hatchback,Binek,ST-Line,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ecoblue-120-ps-otomatik-st-line.html,,,,,,,115 g/km,4.4 lt,47 lt,Euro 6.2,4.1 lt,4.9 lt,,,5 yıldız,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik ST-Line NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1394 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Titanium,,,,,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,196 km/s,300 nm,120 BG,,,Amerika,Hatchback,Binek,Titanium,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ecoblue-120-ps-otomatik-titanium.html,,,,,,,115 g/km,4.4 lt,47 lt,Euro 6.2,4.1 lt,4.9 lt,,,5 yıldız,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1394 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X,,,,,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,196 km/s,300 nm,120 BG,,,Amerika,Hatchback,Binek,Trend X,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ecoblue-120-ps-otomatik-trend-x.html,,,,,,,115 g/km,4.4 lt,47 lt,Euro 6.2,4.1 lt,4.9 lt,,,5 yıldız,2020 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1363 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Titanium,,,,,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 EcoBlue 120 PS Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10 saniye,199 km/s,300 nm,120 BG,,,Amerika,Hatchback,Binek,Titanium,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ecoblue-120-ps-titanium.html,,,,,,,90 g/km,3.4 lt,47 lt,Euro 6.2,3.2 lt,3.9 lt,,,5 yıldız,2020 Ford Focus HB 1.5 EcoBlue 120 PS Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1363 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Trend X,,,,,,2020 Ford Focus HB 1.5 EcoBlue 120 PS Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 EcoBlue 120 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10 saniye,199 km/s,300 nm,120 BG,,,Amerika,Hatchback,Binek,Trend X,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ecoblue-120-ps-trend-x.html,,,,,,,90 g/km,3.4 lt,47 lt,Euro 6.2,3.2 lt,3.9 lt,,,5 yıldız,2020 Ford Focus HB 1.5 EcoBlue 120 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1336 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Titanium,,,,,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,12.4 saniye,194 km/s,150 nm,123 BG,,,Amerika,Hatchback,Binek,Titanium,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ti-vct-123-ps-otomatik-titanium.html,,,,,,,150 g/km,6.6 lt,52 lt,Euro 6.2,5.1 lt,9.1 lt,,,5 yıldız,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1336 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X,,,,,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,12.4 saniye,194 km/s,150 nm,123 BG,,,Amerika,Hatchback,Binek,Trend X,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ti-vct-123-ps-otomatik-trend-x.html,,,,,,,150 g/km,6.6 lt,52 lt,Euro 6.2,5.1 lt,9.1 lt,,,5 yıldız,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1308 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Titanium,,,,,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,11.2 saniye,196 km/s,150 nm,123 BG,,,Amerika,Hatchback,Binek,Titanium,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ti-vct-123-ps-titanium.html,,,,,,,134 g/km,6.0 lt,52 lt,Euro 6.2,4.6 lt,8.1 lt,,,5 yıldız,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1308 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X,,,,,,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X Test Sürüşü Talep Sayfası,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,11.2 saniye,196 km/s,150 nm,123 BG,,,Amerika,Hatchback,Binek,Trend X,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2020-ford-focus-hb-1-5-ti-vct-123-ps-trend-x.html,,,,,,,134 g/km,6.0 lt,52 lt,Euro 6.2,4.6 lt,8.1 lt,,,5 yıldız,2020 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1574 kg,,1835 mm,4418 mm,1854 mm,2761 lt,1529 lt,,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium,,,,,,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium Test Sürüşü Talep Sayfası,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium Ürün Kataloğu,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.9 saniye,170 km/s,270 nm,120 BG,,,Amerika,Kombi,Binek,Titanium,MPV,2020,İçten Yanmalı (Standart),,B,Tourneo Connect,Dizel,https://www.epey.com/araba/2020-ford-tourneo-connect-1-5-ecoblue-120-ps-otomatik-titanium.html,,,,,,,142 g/km,5.4 lt,60 lt,Euro 6.2,4.9 lt,6.3 lt,,,4 yıldız,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium NCAP/ANCAP Web Sayfası,2018,Var,,726 kg,2300 kg,,,1245 mm,,Önden Çekişli,,,,,8 ileri,Otomatik,
1551 kg,,1835 mm,4418 mm,1854 mm,2761 lt,1529 lt,,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium,,,,,,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium Test Sürüşü Talep Sayfası,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium Ürün Kataloğu,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.6 saniye,170 km/s,270 nm,120 BG,,,Amerika,Kombi,Binek,Titanium,MPV,2020,İçten Yanmalı (Standart),,B,Tourneo Connect,Dizel,https://www.epey.com/araba/2020-ford-tourneo-connect-1-5-ecoblue-120-ps-titanium.html,,,,,,,121 g/km,4.6 lt,60 lt,Euro 6.2,4.4 lt,5.0 lt,,,4 yıldız,2020 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium NCAP/ANCAP Web Sayfası,2018,Var,,724 kg,2275 kg,,,1245 mm,,Önden Çekişli,,,,,6 ileri,Manuel,
1411 kg,,1799 mm,4518 mm,1428 mm,,420 lt,,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport,,,,,,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport Test Sürüşü Talep Sayfası,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),8.2 saniye,200 km/s,220 nm,182 BG,,,Japonya,Hatchback,Binek,Sport,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Civic,Benzin,https://www.epey.com/araba/2020-honda-civic-hb-1-5-vtec-turbo-182-ps-cvt-sport.html,,,,,,,137 g/km,6.0 lt,46 lt,,5.0 lt,7.7 lt,,,5 yıldız,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1411 kg,,1799 mm,4518 mm,1428 mm,,420 lt,,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+,,,,,,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+ Test Sürüşü Talep Sayfası,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+ Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),8.2 saniye,200 km/s,220 nm,182 BG,,,Japonya,Hatchback,Binek,Sport+,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Civic,Benzin,https://www.epey.com/araba/2020-honda-civic-hb-1-5-vtec-turbo-182-ps-cvt-sportplus.html,,,,,,,137 g/km,6.0 lt,46 lt,,5.0 lt,7.7 lt,,,5 yıldız,2020 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+ NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
